database,Subject,Identified_features,Original_Tags,Generated_Tags
ajiosmart,Spring beauties from our Indie collection,"beauty,product_category,season,collection","cat_ladies,cat_seasonal,cat_productcategory","cat_ladies,cat_seasonal,cat_productcategory"
ajiosmart,BrandðŸ’—Flat 50-80% OFF on top brands!,"brand,discount","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,The best styles for less than Rs. 1499. Itâ€™s true!,"amount,budget,discount,style",cat_discount,cat_discount
ajiosmart,Hand-crafted favourites from Indie at Min. 40% OFF.,"discount,product_category,min_max","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Style tips from the women of AJIO + Min. 40% OFF on new arrivals!,"discount,ladies,min_max,new,style,recommendation,launch","cat_discount,cat_ladies","cat_discount,cat_ladies"
ajiosmart,Celebrate yourself every day with Min. 40% OFF on new arrivals!,"discount,min_max,new,launch,you",cat_discount,cat_discount
ajiosmart,Do the new with up to 30% OFF,"discount,new",cat_discount,cat_discount
ajiosmart,hashtag AJIOrecommends trends you need to own this season,"#,season,want,you",cat_seasonal,cat_seasonal
ajiosmart,Celebrate different personalities with extra 30-40% OFF!,"extra,discount",cat_discount,cat_discount
ajiosmart,Flat 50-70% OFF on the brands you love most!,"brand,discount,love,you","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Min. 50-60% OFF on most-wanted brands!,"brand,discount,min_max","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Live a life full of colour with Min. 50% OFF!,"color,discount,start,min_max",cat_discount,cat_discount
ajiosmart,Extra 33% OFF on our newest spring arrivals!,"extra,discount,season,launch","cat_discount,cat_seasonal","cat_discount,cat_seasonal"
ajiosmart,Min. 64% OFF! Time for a wardrobe makeover!,"discount,fashion,min_max,time",cat_discount,cat_discount
ajiosmart,Your blooming new wardrobe at flat 50-80% OFF!,"discount,new,you",cat_discount,cat_discount
ajiosmart,Flat 50-70% OFF on most-wanted brands!,"brand,discount","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,"Flat 62% OFF! Plus, trends to own NOW!",discount,cat_discount,cat_discount
ajiosmart,12 Hours Only: Extra Rs 2000 OFF on everything!,"amount,extra,budget,discount",cat_discount,cat_discount
ajiosmart,Youâ€™ve got just 3 days to grab flat 62% OFF!,"discount,get,you",cat_discount,cat_discount
ajiosmart,Your turn to talk! Take our survey now.,"get,feedback,turn,you",cat_feedback,cat_feedback
ajiosmart,New styles from your most-loved brands!,"brand,love,new,style,you",cat_brand,cat_brand
ajiosmart,"Buy 3, get extra 40% OFF: New Season Casualwear","extra,discount,get,product_category,new,season","cat_discount,cat_seasonal,cat_productcategory","cat_discount,cat_seasonal,cat_productcategory"
ajiosmart,"Buy 3, get extra 40% OFF: New Season Ethnicwear","extra,discount,get,product_category,new,season","cat_discount,cat_seasonal,cat_productcategory","cat_discount,cat_seasonal,cat_productcategory"
ajiosmart,New seasonâ€™s favourites under Rs.999. Shop now!,"amount,budget,discount,new,season","cat_discount,cat_seasonal","cat_discount,cat_seasonal"
ajiosmart,Shop the thrift store! New season styles under Rs.999,"amount,budget,accumulate,discount,new,season,style","cat_discount,cat_seasonal","cat_discount,cat_seasonal"
ajiosmart,Yes we said it! New season styles under Rs.999,"amount,budget,discount,new,season,style,we","cat_discount,cat_seasonal","cat_discount,cat_seasonal"
ajiosmart,True blues from Indie Collection,"product_category,collection",cat_productcategory,cat_productcategory
ajiosmart,"Hello, Spring! Smart new season styles on the block, right here.","new,season,style",cat_seasonal,cat_seasonal
ajiosmart,Step into spring! We ve got all the new styles on the bright side!,"get,new,season,style,we",cat_seasonal,cat_seasonal
ajiosmart,It s a spring thing! Everything you need for the new season s here.,"new,season,want,you",cat_seasonal,cat_seasonal
ajiosmart,"One place to score them all! Favourite brands, unmissable steals.",brand,cat_brand,cat_brand
ajiosmart,"Everything you ever wanted. Brands, check. Steals, double check.","brand,you",cat_brand,cat_brand
ajiosmart,The brands you ve loved at prices you ve wanted!,"brand,love,price,you",cat_brand,cat_brand
ajiosmart,Trends for the new season at Rs. 2001 off!,"amount,budget,discount,new,season","cat_discount,cat_seasonal","cat_discount,cat_seasonal"
ajiosmart,Trending into the new season at Rs. 2001 OFF!,"amount,budget,discount,new,season","cat_discount,cat_seasonal","cat_discount,cat_seasonal"
ajiosmart,Get European style at Min. 50% OFF: 1 day only!,"discount,get,min_max,style",cat_discount,cat_discount
ajiosmart,Just one day to get Min. 50% OFF on Only and Vero Moda!,"brand,discount,get,min_max","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,One day only to get Min. 50% OFF on Jack and Jones!,"brand,discount,get,min_max","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,The dateâ€™s on us! Min. 40% + Extra 50% OFF!,"extra,discount,min_max,we",cat_discount,cat_discount
ajiosmart,Youâ€™ll ðŸ’— this: Min. 40% + Extra 50% OFF,"extra,discount,min_max,you",cat_discount,cat_discount
ajiosmart,The date s on us! Min. 40% + Extra 50% OFF!,"extra,discount,min_max,we",cat_discount,cat_discount
ajiosmart,New arrivals calling. Are you ready?,"new,launch,you",cat_other,cat_other
ajiosmart,ðŸŒŽ Up to 80% OFF for your global escapade!,"discount,you",cat_discount,cat_discount
ajiosmart,ðŸŒŽ Global styles. Local prices. Up to 80% OFF on our international brands!,"brand,discount,price,style","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,ðŸŒŽ Prep for that world tour with up to 80% OFF!,discount,cat_discount,cat_discount
ajiosmart,ðŸ•°ï¸_x008f_ Youâ€™ve got only 48 hrs to grab flat 65% OFF!,"discount,get,you",cat_discount,cat_discount
ajiosmart,Take a brand stand with flat 50-60% OFF ðŸ”¹ â_x009d_¤ï¸_x008f_,"brand,discount,get","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Your Exclusive VIP Pass is here! Enjoy FLAT 65% OFF!,"discount,enjoy,you",cat_discount,cat_discount
ajiosmart,Must-have classics at flat 50-80% OFF,"discount,get",cat_discount,cat_discount
ajiosmart,Up your style game with flat 50-80% OFF,"contest,discount,style,you",cat_discount,cat_discount
ajiosmart,Grab flat 50-80% OFF on the coolest classics,"discount,get",cat_discount,cat_discount
ajiosmart,Extra 44% OFF on our new arrivals!,"extra,discount,new,launch",cat_discount,cat_discount
ajiosmart,How does an extra 44% OFF on new arrivals sound?,"extra,discount,new,question,launch",cat_discount,cat_discount
ajiosmart,New Arrivals. Extra 44% OFF. Good deal?,"extra,deal,discount,new,launch",cat_discount,cat_discount
ajiosmart,Own it like you mean it. New arrivals from AJIO Own.,"new,launch,you",cat_other,cat_other
ajiosmart,Just landed! Sparkling new styles from AJIO Own.,"new,style",cat_other,cat_other
ajiosmart,"Just how you like it. Styles served fresh, by AJIO Own.","new,question,style,you",cat_other,cat_other
ajiosmart,Score this steal! Trending styles under Rs.999,"amount,budget,discount,style",cat_discount,cat_discount
ajiosmart,"All the brands you ðŸ’—, at up to 60% OFF","brand,discount,you","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Extra 55% OFF âž• check out the latest trends,"extra,discount,new,recommendation",cat_discount,cat_discount
ajiosmart,"Hottest trends ðŸ”¥ + extra 55% OFF. TGIF, right!","weekend,extra,discount","cat_discount,cat_weekend","cat_discount,cat_weekend"
ajiosmart,Grab extra 55% OFF before itâ€™s too late! ðŸ•›,"extra,before,discount,get",cat_discount,cat_discount
ajiosmart,Global styles. Local prices. Up to 50% OFF on international brands!,"brand,discount,price,style","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Up to 50% OFF on global labels! Passport optional,discount,cat_discount,cat_discount
ajiosmart,Up to 50% OFF on global labels! Ready for a world tour?,discount,cat_discount,cat_discount
ajiosmart,Like exclusive wasnâ€™t enough! Flat 61% OFF on AJIO Exclusives,"discount,you",cat_discount,cat_discount
ajiosmart,Latest excuse to shop: Flat 61% OFF on AJIO Exclusives!,"discount,new",cat_discount,cat_discount
ajiosmart,Flat 61% OFF on AJIO Exclusives! Itâ€™s true!,discount,cat_discount,cat_discount
ajiosmart,Here it comes! Rs.1000 OFF on your next AJIO order.,"amount,budget,discount,you",cat_discount,cat_discount
ajiosmart,Last 2 days to use your exclusive 50% OFF coupon!,"code,discount,you",cat_discount,cat_discount
ajiosmart,Min. 50% OFF on our bestsellers! Howâ€™s that? ðŸŽ_x0081_,"discount,min_max,question",cat_discount,cat_discount
ajiosmart,Let s talk about NEW!,new,cat_other,cat_other
ajiosmart,ðŸ“£ Up to 60% OFF: Snag all the top brands!,"brand,discount","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Up to 60% OFF on the hottest brands ðŸ˜_x008d_,"brand,discount","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,"At up to 60% OFF, these brands are yours! ðŸŽ_x0081_","brand,discount","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Score flat 61% OFF on your faves,"discount,you",cat_discount,cat_discount
ajiosmart,Your fave westernwear brands at Min. 50% OFF!,"brand,discount,product_category,min_max,you","cat_discount,cat_brand,cat_productcategory","cat_discount,cat_brand,cat_productcategory"
ajiosmart,Your fave ethnicwear brands at Min. 50% OFF!,"brand,discount,product_category,min_max,you","cat_discount,cat_brand,cat_productcategory","cat_discount,cat_brand,cat_productcategory"
ajiosmart,Own your fave brands at Min. 50% OFF!,"brand,discount,min_max,you","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,The Epic Blowout: Flat 61% OFF on AJIO Exclusives,discount,cat_discount,cat_discount
ajiosmart,The Brand Edit: Up to 60% OFF on your favourites!,"brand,discount,you","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Up to 60% OFF on the brands youâ€™ve always wanted!,"brand,discount,you","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Donâ€™t wait! Shop your fave brands at up to 70% OFF!,"brand,discount,you","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Meet us halfway! Extra 50% OFF on AJIO Own!,"extra,discount,we",cat_discount,cat_discount
ajiosmart,Letâ€™s meet halfway! Extra 50% OFF on AJIO Own!,"extra,discount",cat_discount,cat_discount
ajiosmart,Will you be the lucky one to win an iPhone 8 today?,you,cat_other,cat_other
ajiosmart,Shopping = iPhone 8 Open to know how!,"know,question",cat_other,cat_other
ajiosmart,Who says shopping isnâ€™t rewarding? Win an iPhone 8 today!,question,cat_other,cat_other
ajiosmart,Winning an iPhone 8: Top reason to shop with us today!,we,cat_other,cat_other
ajiosmart,iPhone 8: Is what you could win today!,you,cat_other,cat_other
ajiosmart,Easiest way to win an iPhone 8. Shop Now!,,cat_other,cat_other
ajiosmart,Crack the sale and unlock iPhone 8,sale,cat_discount,cat_discount
ajiosmart,Flat 60% OFF! Canâ€™t say no to this!,discount,cat_discount,cat_discount
ajiosmart,Letâ€™s shop at Flat 60% OFF!,discount,cat_discount,cat_discount
ajiosmart,Score BIG! Shop at Flat 60% OFF!,discount,cat_discount,cat_discount
ajiosmart,Up to 60% OFF on the brands you love!,"brand,discount,love,you","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Up to 70% OFF on the brands you love!,"brand,discount,love,you","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Check out our latest SSâ€™18 Collection!,"new,season,recommendation,collection","cat_seasonal,cat_productcategory","cat_seasonal,cat_productcategory"
ajiosmart,Doesnâ€™t get fresher than our SSâ€™18 Collection â_x009d_¤ï¸_x008f_,"get,season,collection","cat_seasonal,cat_productcategory","cat_seasonal,cat_productcategory"
ajiosmart,"Dresses, Jeans, and Trousers: Your essentials at Flat 51-61% OFF!","discount,product_category,you,collection","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Arrive at your dressâ€™tination with Flat 61% OFF!,"discount,product_category,you","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Flat 51% OFF on jeans and trousers: Best time to shop!,"discount,product_category,time","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Update your style with Flat 61% OFF on kurtas and shirts,"discount,product_category,style,you","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Spin a fresh kurta story with Flat 61% OFF,"discount,product_category,new,turn","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Button up with Flat 61% OFF on shirts,"discount,product_category","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Flat 61% OFF on shoes and accessories!,"discount,product_category","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Stock up on shoes and accessories at Flat 61% OFF!,"discount,product_category","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Must-have shoes and accessories at Flat 61% OFF!,"discount,get,product_category","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Flat 50-80% OFF + Extra 22% OFF on style essentials!,"extra,discount,style,collection",cat_discount,cat_discount
ajiosmart,Flat 50-80% OFF + Extra 22% OFF on 2018 must-haves!,"extra,discount",cat_discount,cat_discount
ajiosmart,Flat 50-80% OFF + Extra 22% OFF on styles you canâ€™t miss!,"extra,discount,style,you",cat_discount,cat_discount
ajiosmart,Itâ€™s a Sale-a-bration! Min. 40% + Extra 40% OFF!,"extra,discount,sale,min_max",cat_discount,cat_discount
ajiosmart,Youâ€™ll â_x009d_¤ this! Min. 40% + Extra 40% OFF!,"extra,discount,min_max,you",cat_discount,cat_discount
ajiosmart,Gear up for Min. 40% + Extra 40% OFF!,"extra,discount,min_max",cat_discount,cat_discount
ajiosmart,Exclusive styles. Extraordinary prices. FLAT 55% OFF,"discount,price,style,you",cat_discount,cat_discount
ajiosmart,Because Label Love is True Love! â_x009d_¤,love,cat_other,cat_other
ajiosmart,The EVERYTHING ON SALE Sale is here!,sale,cat_discount,cat_discount
ajiosmart,Style resolutions for the New Year,"new,special_day,style",cat_special,cat_special
ajiosmart,GET ON TOP! Tops under Rs.799 and shirts under Rs.1499,"amount,budget,discount,get,product_category","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,3..2..1! Counting down to FLAT 50% + 20% OFF.,discount,cat_discount,cat_discount
ajiosmart,LABELS TO LOVE! Get up to 60% off!,"discount,get,love",cat_discount,cat_discount
ajiosmart,Happy Holidaze! Enjoy Flat 50% + EXTRA 20% off!,"extra,discount,happy,enjoy",cat_discount,cat_discount
ajiosmart,Here it comes! Rs.1000 OFF on your next AJIO order..,"amount,budget,discount,you",cat_discount,cat_discount
ajiosmart,Take the Silk Route with our Indie collection,"get,product_category,collection",cat_productcategory,cat_productcategory
ajiosmart,Your treats are here ðŸ_x008d_¬,you,cat_other,cat_other
ajiosmart,"Exclusive labels. Exclusive styles. Yours, for a steal.","style,you",cat_other,cat_other
ajiosmart,Your next season styles have arrived!,"get,season,style,launch,you",cat_seasonal,cat_seasonal
ajiosmart,Donâ€™t miss out on up to 60% OFF on our top brands!,"brand,discount","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Rs 10K worth treats on âœˆ ðŸŽ¥ ðŸšŒ and more!,"amount,extra,budget",cat_other,cat_discount
ajiosmart,Globe-trotting styles for a steal âœˆ,style,cat_other,cat_other
ajiosmart,Watch Bose: Dead/Alive on JioCinema and get the look exclusively on AJIO.com!,get,cat_other,cat_other
ajiosmart,Got your eye on 2017â€™s best? Take 51% OFF,"discount,get,you",cat_discount,cat_discount
ajiosmart,Stock up for winter with these steals! â_x009d_„,season,cat_seasonal,cat_seasonal
ajiosmart,Itâ€™s time to stock up with our seasonâ€™s steals! ðŸ‘—ðŸ‘•,"season,time",cat_seasonal,cat_seasonal
ajiosmart,Heading somewhere and donâ€™t know what to wear?,know,cat_other,cat_other
ajiosmart,"Bag the best of trends, at up to 50% OFF!",discount,cat_discount,cat_discount
ajiosmart,Weâ€™re looking out for little stars who shine bright âœ¨,"question,we",cat_other,cat_other
ajiosmart,Want first dibs on our exclusive sale?,"sale,you",cat_discount,cat_discount
ajiosmart,"Playful and knotty, all at once!",,cat_other,cat_other
ajiosmart,Remember the hashtag AJIOLOVE we sent you?,"#,send,we,you",cat_other,cat_discount
ajiosmart,Buy 1 Get 1 on kidsâ€™ styles. Treats even better than sweets!,"discount,get,style",cat_discount,cat_discount
ajiosmart,Get in tune with the our top labels,get,cat_other,cat_other
ajiosmart,Get in tune with the our top labels ï¿½,get,cat_other,cat_other
ajiosmart,THE PERFECT DENIMS and DRESSES,product_category,cat_productcategory,cat_productcategory
ajiosmart,TREND TALK: Easy ways to look cool,recommendation,cat_other,cat_other
ajiosmart,"Looks we love, at up to 50% OFF","discount,love,we",cat_discount,cat_discount
ajiosmart,The Sparkling SALE - Big Bag Celebration,sale,cat_discount,cat_discount
ajiosmart,Clearance Call! Flat 60% - 80% OFF,"clear,discount","cat_discount,cat_exchange_clearance","cat_discount,cat_exchange_clearance"
ajiosmart,Prepare to shine at The Sparkling Sale!,sale,cat_discount,cat_discount
ajiosmart,Thanks for the hashtag AJIOLove. Here is your Paytm offer,"#,brand,complimentary,deal,you","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Get on top of style,"get,style",cat_other,cat_other
ajiosmart,Your new season trend checklist is here,"checklist,new,season,recommendation,you",cat_seasonal,cat_seasonal
ajiosmart,Hereâ€™s how to be casually cool,question,cat_other,cat_other
ajiosmart,These Tees are Trendy!,product_category,cat_productcategory,cat_productcategory
ajiosmart,These trends are so you!,you,cat_other,cat_other
ajiosmart,New brands you need right now,"brand,new,want,you",cat_brand,cat_brand
ajiosmart,London hashtag streetstyle â€“ Flat 50% OFF on trends from the hub of fashion,"#,discount,fashion,product_category","cat_discount,cat_productcategory","cat_discount,cat_productcategory"
ajiosmart,Go BIG! Flat 60-70% OFF on great styles!,"discount,style,super",cat_discount,cat_discount
ajiosmart,Last chance to grab these!,get,cat_other,cat_other
ajiosmart,Thanks for the hashtag AJIOLove. Here is your ixigo offer,"#,brand,complimentary,deal,you","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,AJIO Exclusives: Buy 2 Get 2 Free!,"discount,get,free",cat_discount,cat_discount
ajiosmart,"Hop, Skip and Jump!",,cat_other,cat_other
ajiosmart,Whatâ€™s trending now!,recommendation,cat_other,cat_other
ajiosmart,Official statements,account,cat_other,cat_other
ajiosmart,Last chance to pick App only offers!,deal,cat_discount,cat_discount
ajiosmart,Timeâ€™s ticking away â€“ last 2 days!,"discount,time",cat_discount,cat_discount
ajiosmart,Time to take it forward,"get,time",cat_other,cat_other
ajiosmart,Casually yours,,cat_other,cat_other
ajiosmart,"All of the latest in style, on AJIO","new,style",cat_other,cat_other
ajiosmart,Top stories in style,style,cat_other,cat_other
ajiosmart,Add your own sparkle to this Onam,"special_day,you",cat_special,cat_special
ajiosmart,Step right in to your personal wardrobe,you,cat_other,cat_other
ajiosmart,Put performance first. Up to 60% OFF!,discount,cat_discount,cat_discount
ajiosmart,Seasons change â€“ you donâ€™t have toâ€¦,"get,season,turn,you",cat_seasonal,cat_seasonal
ajiosmart,Catch the buzz on trends,,cat_other,cat_other
ajiosmart,hashtag AJIOrecommends â€“ Neo Nagras and Kalamkari Collection,"#,product_category,collection",cat_productcategory,cat_productcategory
ajiosmart,Holiday on your mind,"special_day,you",cat_special,cat_special
ajiosmart,Hereâ€™s a multi-tasking shirt thatâ€™s GREY-T,product_category,cat_productcategory,cat_productcategory
ajiosmart,In the pink of fashion,"color,fashion",cat_other,cat_other
ajiosmart,Layer it on with AJIO Own,,cat_other,cat_other
ajiosmart,Wear your heritage proudly!,you,cat_other,cat_other
ajiosmart,Celebrate Independence Day with Indie Men â€“ now on AJIO,"product_category,men,special_day","cat_special,cat_gents,cat_productcategory","cat_special,cat_gents,cat_productcategory"
ajiosmart,Thereâ€™s a sneaker for every look,product_category,cat_productcategory,cat_productcategory
ajiosmart,"This Independence day, free your style!","special_day,style,you,free",cat_special,"cat_discount,cat_special"
ajiosmart,Are you ready to backpack this long weekend?,"weekend,product_category,you","cat_weekend,cat_productcategory","cat_weekend,cat_productcategory"
ajiosmart,Layered looks from your favourite brands,"brand,you",cat_brand,cat_brand
ajiosmart,50% is on us! 100% style on you,"discount,start,style,we,you",cat_discount,cat_discount
ajiosmart,Hit up the â‚¹999 store,"accumulate,discount",cat_discount,cat_discount
ajiosmart,Weekend Styles to pick fromâ€¦,"weekend,style",cat_weekend,cat_weekend
ajiosmart,Youâ€™ll do a double take!,"get,you",cat_other,cat_other
ajiosmart,Smarten up your style act,"style,you",cat_other,cat_other
ajiosmart,Youâ€™ll miss this when itâ€™s goneâ€¦?,"question,you",cat_other,cat_other
ajiosmart,Youâ€™ve only 2 days!,you,cat_other,cat_other
ajiosmart,The trends of the season are hereâ€¦,season,cat_seasonal,cat_seasonal
ajiosmart,The not so predictable blue shirts are here. Pick yours!,"color,product_category",cat_productcategory,cat_productcategory
ajiosmart,The style crossover,style,cat_other,cat_other
ajiosmart,Destination: Style! Flat 40% OFF on International Brands,"brand,discount,style","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Take off this Travel Thursday,"discount,get,weekday",cat_other,cat_other
ajiosmart,Feng Shui your style,"style,you",cat_other,cat_other
ajiosmart,"Donâ€™t just buy style, OWN it!",style,cat_other,cat_other
ajiosmart,Last DAY! Extra 40% off on Everything,"extra,discount",cat_discount,cat_discount
ajiosmart,The Smart Thing to do!,,cat_other,cat_other
ajiosmart,SALE! Flat 60% OFF on clearance styles,"clear,discount,sale,style","cat_discount,cat_exchange_clearance","cat_discount,cat_exchange_clearance"
ajiosmart,Go all out! Extra 40% off on Everything,"extra,discount",cat_discount,cat_discount
ajiosmart,Experienced the Brand Love? Get Flat 50% + Extra 50% off on Top Brands,"brand,extra,discount,experience,get,love","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,The Weather Forecast: Great style expected,"style,super",cat_other,cat_other
ajiosmart,"This season, make a splash with these!","get,season",cat_seasonal,cat_seasonal
ajiosmart,Active Wear isnâ€™t only for the gym anymore,product_category,cat_productcategory,cat_productcategory
ajiosmart,Make style your Lifestyle,"get,style,you",cat_other,cat_other
ajiosmart,SALE: Brand Edit! The labels that you love,"brand,sale,love,you","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Ditch the boring old shirt for these,"product_category,exchange",cat_productcategory,cat_productcategory
ajiosmart,Trends to talk aboutâ€¦,,cat_other,cat_other
ajiosmart,Youâ€™ll miss this when itâ€™s goneâ€¦,"question,you",cat_other,cat_other
ajiosmart,How many style destinations can you cover?,"question,style,you",cat_other,cat_other
ajiosmart,The Big Sale is here!,sale,cat_discount,cat_discount
ajiosmart,Sweet trends and sweeter deals,deal,cat_discount,cat_discount
ajiosmart,The numbers are in.,,cat_other,cat_other
ajiosmart,Last minute date ideas (and what to wear),,cat_other,cat_other
ajiosmart,Thanks for your hashtag AJIOlove. Here are your Goibibo vouchers,"#,brand,code,you","cat_discount,cat_brand",cat_brand
ajiosmart,Can one have too many tees? We think notâ€¦,"get,product_category,we",cat_productcategory,cat_productcategory
ajiosmart,Hit Refresh!,enjoy,cat_other,cat_other
ajiosmart,The numbers are in!,,cat_other,cat_other
ajiosmart,Fill in the blanks,,cat_other,cat_other
ajiosmart,Up to 60% off on Adamo London | Evah London,"brand,discount","cat_discount,cat_brand","cat_discount,cat_brand"
ajiosmart,Top up your Style,"style,you",cat_other,cat_other
ajiosmart,Launching Nike on AJIO,"brand,launch",cat_brand,cat_brand
